Tingkat kebisingan,Rata-rata hasil audiometri,Rata-rata usia,Rekomendasi
28,75.75,38.1,1
6,76.73,35.7,1
67,70.81,35.1,1
36,94.93,36.9,1
20,96.99,32.2,1
40,84.05,33.9,1
42,87.45,21.1,1
2,95.13,32.5,1
54,96.47,21.6,1
30,98.86,28.9,1
58,86.86,20.4,1
24,70.78,26.9,1
56,88.33,36.9,1
31,86.01,22.1,1
27,74.54,33.7,1
0,91.4,23.7,1
21,73.24,26.6,1
22,97.3,30.9,1
31,86.28,35.6,1
64,82.67,28.9,1
65,77.67,38.3,1
61,81.39,33.8,1
56,98.27,37.6,1
24,70.87,31,1
38,78.61,31.6,1
23,87.04,28.8,1
53,90.96,40,1
60,74.38,26.7,1
38,95.36,23.8,1
19,97.06,38.5,1
28,92.98,20.1,1
21,78.48,37.9,1
44,72.31,24.5,1
57,75.38,36.3,1
62,73.76,37.7,1
65,92.01,26.7,1
70,77.06,28.9,1
11,78.03,37.2,1
49,98.36,29.1,1
40,86.01,38.4,1
69,85.19,28.5,1
27,76.08,37,1
60,86.52,39.9,1
2,76.5,21.6,1
58,79.16,21.1,1
31,92.89,26.6,1
43,83.94,36.2,1
31,98.36,21.8,1
54,87.15,37.1,1
49,88.51,27.6,1
11,86.51,25.8,1
47,87.1,26.1,1
5,71.18,26.1,1
40,90.37,38.3,1
24,97.28,21.8,1
64,73.94,22,1
20,88.43,20.2,1
66,74,29.5,1
57,79.96,20.9,1
57,81.98,25.4,1
25,96.05,38.2,1
48,73.65,30.7,1
15,79.06,39.4,1
30,98.76,32.1,1
0,99.43,29.3,1
21,98.83,29.8,1
2,77.04,26.9,1
22,97.38,26.8,1
45,81.49,27.2,1
22,70.57,39.8,1
32,85.77,26.4,1
33,92.64,38.2,1
57,76.42,26.3,1
14,83.93,23.4,1
42,98.57,29.7,1
1,79.21,39.8,1
4,89.35,28.5,1
5,78.99,27.9,1
21,78.9,26.6,1
60,99.75,20.9,1
5,93.48,24.9,1
4,98.37,23.7,1
60,97.47,20.4,1
45,78.04,25.6,1
64,81.34,30.1,1
47,92.27,37.7,1
70,94.18,34.4,1
23,76.65,34.5,1
24,87.1,27.7,1
35,97.84,20.9,1
57,93.22,30.5,1
50,99.19,33.9,1
41,71.77,27.3,1
49,93.34,37.3,1
65,89.01,30.5,1
44,83.71,21.1,1
50,99.51,35.1,1
2,82.73,36.1,1
13,88.81,23,1
9,96.91,39,1
68,80.59,25.5,1
1,71.31,37.4,1
34,77.04,24.3,1
23,93.04,38.4,1
29,73.75,32.2,1
54,89.44,25.5,1
53,97.19,34.8,1
15,82.02,22.4,1
48,81.63,29.5,1
53,72.75,22.9,1
11,75.44,24.7,1
21,98.33,22.3,1
21,85.04,26,1
0,89.3,37.9,1
45,78.01,39.7,1
7,91.3,22.6,1
57,85.74,26.3,1
38,82.47,34.8,1
17,86.58,31.3,1
51,85.18,37.6,1
40,79.86,36.1,1
14,83.48,37.4,1
40,89.88,26.6,1
14,96.85,31.6,1
50,96.4,23.1,1
69,92.13,27.6,1
9,94.5,29.8,1
15,82.08,34.8,1
47,95.76,33.8,1
3,80.03,35,1
5,77.4,28.9,1
44,87.73,25.1,1
66,86.33,28.9,1
59,85.17,36.9,1
32,98.3,31.8,1
50,98.44,25.1,1
19,77.72,31.4,1
56,87.01,36.4,1
0,70.64,34.7,1
33,94.96,37.5,1
6,70.32,22.2,1
54,97.57,21.6,1
62,96.86,23,1
36,93.62,24.5,1
46,81.9,24.8,1
15,76.43,34.9,1
45,79.76,22.5,1
19,75.93,36.2,1
23,79.95,34.8,1
53,88.42,29.3,1
29,71.02,26.6,1
65,93.19,27.9,1
41,96.57,20.5,1
54,70.2,29.2,1
22,87.12,26.5,1
60,80.48,24.7,1
12,85.84,20.2,1
66,71.58,22.6,1
32,90.51,23.7,1
29,88.31,24.3,1
8,90.97,20.9,1
36,70.81,39.4,1
25,81.07,37.5,1
4,81.42,31.8,1
0,84.97,24,1
63,71.71,30,1
31,79.79,20.3,1
35,98.39,22.4,1
28,71.52,37,1
0,85.07,27.7,1
64,78.42,32.9,1
53,83,24.3,1
57,95.03,23.8,1
56,77.1,23.7,1
41,94.72,27.6,1
55,92.12,23.4,1
66,80.84,34.5,1
49,97.57,22.5,1
52,73.25,34.6,1
20,82.61,25,1
24,83.67,30.9,1
52,71.53,20.6,1
26,99.81,33.8,1
54,90.35,23.4,1
37,95.83,32.2,1
66,79.77,36.1,1
44,85.68,38.5,1
11,87.01,31.5,1
13,85.69,26.4,1
57,72.32,39.2,1
34,79.94,36.4,1
59,72.76,26.4,1
36,83.26,33.6,1
63,96.05,38.2,1
70,88.6,29.5,1
60,92.07,34.5,1
57,90.54,26.8,1
15,89.84,29.4,1
40,92.22,23.2,1
27,91.77,25.6,1
50,94.65,26.4,1
9,96.7,36.5,1
10,74.86,25.6,1
50,95.01,39.2,1
63,88.12,21.9,1
31,92.27,33.8,1
55,70.59,22.9,1
40,72.39,28.1,1
55,76.77,34.8,1
33,76.67,31.1,1
45,80.22,30.9,1
59,90.43,29.1,1
11,89.39,36.5,1
69,94.97,23.3,1
26,89.52,32,1
36,82.46,38.4,1
21,71.19,32.5,1
53,99.9,20.5,1
57,82.54,22.1,1
1,89.04,34.3,1
36,72.84,25.7,1
39,82.82,24.2,1
28,79.38,32.1,1
65,98.58,26.6,1
38,86.36,21.5,1
49,73.28,35.9,1
14,78,32.3,1
13,98.82,22.2,1
16,97.24,20,1
61,89.22,20.2,1
66,93.64,22.8,1
6,78.71,36.7,1
1,74.14,20,1
56,75.01,23.9,1
21,85.83,34.8,1
8,77.69,39.1,1
3,72.21,31.9,1
14,99.33,21.4,1
19,78.17,29.3,1
43,85.59,34,1
33,76.62,34.9,1
48,98.87,29.9,1
37,76.77,34.8,1
69,70.45,34.2,1
63,93.83,32.3,1
3,96.1,25.4,1
28,75.79,24.3,1
57,90.73,39.8,1
61,82.99,38.9,1
62,87.66,32.1,1
7,80.97,21.9,1
54,92.62,22.3,1
57,90.62,39.5,1
15,82.22,22,1
27,97.77,22.2,1
54,70.61,31.1,1
22,87.13,38.1,1
3,88.03,35.1,1
65,70.81,29.1,1
11,96.46,35.2,1
64,87.47,34.4,1
58,95.9,33.7,1
38,91.02,38.2,1
36,83.88,23.7,1
23,96.74,25.9,1
34,70.52,35,1
32,90.11,27.3,1
34,97.22,32.5,1
0,83.18,24,1
59,92.91,24,1
50,87.23,21.2,1
13,88.72,26.4,1
56,85.19,20,1
44,73.8,38.4,1
10,72.02,33.1,1
69,74.83,39.5,1
45,97.65,35.2,1
24,76.93,33.3,1
38,72.61,28.8,1
69,72.12,33.7,1
63,71.48,20.3,1
67,78.88,36.9,1
25,87.93,28.8,1
21,90.36,24.8,1
61,75.61,21.3,1
12,98.61,35.5,1
48,80.23,20.9,1
37,94.01,35.4,1
29,80.71,39.4,1
69,89.53,22.4,1
22,76.79,36.7,1
58,97.36,24.1,1
66,81.38,28.2,1
49,99.05,33.7,1
19,97.08,25.5,1
70,99.43,35.3,1
52,73.78,35.1,1
30,96.6,26.1,1
40,75.57,21.8,1
33,97.07,36.9,1
12,87.71,26.3,1
59,77.45,31.7,1
51,91.86,31.4,1
53,83.72,27,1
19,75.1,22.1,1
52,93.52,30.6,1
53,75.93,31.9,1
15,77.33,30.3,1
6,88.18,23.6,1
26,83.84,22.3,1
36,97.53,29.1,1
48,75.28,32.7,1
32,96.36,21.3,1
57,78.55,20.8,1
6,70.03,37.3,1
39,87.53,25.4,1
29,90.35,32.9,1
70,86.39,22.9,1
56,94.52,37.2,1
30,84.67,25.5,1
29,91.87,24.9,1
39,83.56,20.3,1
15,72.18,29.6,1
70,92.05,24.4,1
5,95.64,27.1,1
37,93.71,24.1,1
12,99.06,27.7,1
4,85.69,38.8,1
30,78.25,32.9,1
62,81.65,38.2,1
35,83.13,36.3,1
4,91.32,30.9,1
63,74.11,25.7,1
7,97.57,30.8,1
0,97.89,39.8,1
67,93.85,36.4,1
65,89.75,31.5,1
49,99.92,39,1
49,92.32,35.2,1
6,91.43,22,1
39,73.59,30.4,1
9,78.61,33.3,1
35,84.71,34,1
5,82.08,20.8,1
62,81.32,32.1,1
4,81.09,25.2,1
15,99.1,33.5,1
69,86.69,22.8,1
6,71.47,28.9,1
10,78.97,38.8,1
1,88.46,20.1,1
48,82.99,31.6,1
70,71.48,22.3,1
51,74.41,35.8,1
11,77.61,22.8,1
11,88.74,22.1,1
29,80.81,20.8,1
23,73.29,34.4,1
53,76.39,39.2,1
18,91.27,33.8,1
28,71.09,34.4,1
52,81.3,33,1
27,83.77,28.2,1
15,94.86,22.2,1
10,95.36,21.7,1
58,78.54,35.3,1
17,98.34,38,1
2,99.52,32.2,1
40,97.84,39.6,1
27,85.01,39.6,1
55,71.49,33,1
61,73.78,24.5,1
28,82.67,24.8,1
8,77.55,32.2,1
22,77.2,26.9,1
67,82.53,33.4,1
64,91.58,20.4,1
2,81.63,35,1
32,74.5,36.6,1
69,91.73,32.6,1
50,86.59,33.3,1
12,94.59,25.4,1
2,83.05,35.9,1
52,84.68,26.3,1
68,79.59,26.2,1
56,77.75,36.6,1
30,86.32,29.9,1
34,98.74,29.3,1
19,70.19,36.3,1
41,98.23,26.7,1
9,88.07,30.5,1
18,88.86,39.3,1
70,88.01,30.3,1
30,93.34,28,1
41,97.6,25.9,1
10,91.16,31.6,1
60,98.65,29.7,1
20,98.13,37.5,1
62,96.76,24.5,1
1,93.78,39.4,1
65,76.69,34.4,1
7,94.65,34.9,1
6,80.03,25.8,1
31,87.58,21.9,1
31,78.87,29.7,1
17,81.72,32.6,1
57,87.86,23.6,1
28,98.88,24.6,1
61,85.2,33.3,1
62,94.6,21.6,1
40,82.84,27.3,1
56,87.12,21.3,1
16,88.21,26.1,1
13,88.15,33.3,1
5,93.11,23,1
18,82.53,27.8,1
52,90.24,39.6,1
27,91.93,37.1,1
28,83.95,24.8,1
32,78.86,36.4,1
57,89.89,26.7,1
38,81.25,33.2,1
44,90.99,36.1,1
57,96.88,30.5,1
19,70.57,31.1,1
25,94.48,25.4,1
56,73.99,22.9,1
41,80.54,23.4,1
16,71.04,33.2,1
10,89.06,20.9,1
2,89.3,32.2,1
42,87.11,30.8,1
18,78.32,25.1,1
1,99.32,34.7,1
3,77.65,25.4,1
1,92.58,38.1,1
67,72.57,27.9,1
37,98.79,29.2,1
37,87.13,21.8,1
33,88.7,21.6,1
43,92.36,32.6,1
45,77.3,35.5,1
13,86.68,34.6,1
49,98.26,36.6,1
49,88.34,25.1,1
44,76.4,27,1
18,84.48,36.7,1
3,89.99,36.1,1
59,75.26,32.1,1
26,97.44,32.7,1
48,94.59,38.8,1
32,92.36,29.3,1
27,90.33,27.8,1
16,72.3,38,1
40,70.07,40,1
37,94.93,37.3,1
54,90.26,27.1,1
20,93.3,40,1
23,70.43,33.6,1
30,95.73,21.9,1
11,93.86,36,1
49,87.83,22.7,1
29,94.22,36,1
49,84.18,35.2,1
60,85.55,25.4,1
33,98.14,31.3,1
42,97.2,35.1,1
69,85.35,33.5,1
69,70.43,27.5,1
41,98.97,26.4,1
19,79.11,29.1,1
66,71.54,39.3,1
5,90.02,26,1
5,83.77,23.8,1
66,86.96,39,1
32,92.35,27.3,1
52,97.18,27.7,1
41,94.37,28.6,1
67,78.25,37.2,1
9,75.31,38.1,1
53,92.72,26.2,1
8,94.32,34.4,1
47,91.14,24.9,1
62,90.12,24.4,1
39,96.2,27.6,1
32,77.56,36.9,1
26,80.02,32.7,1
57,90.41,30.5,1
9,78.28,24.6,1
11,72.77,21.5,1
59,99.06,38.8,1
41,99.78,35.9,1
44,86.7,37.4,1
28,73.38,29.6,1
29,71.2,29.9,1
56,80.94,35.8,1
11,98.94,39,1
30,92.26,31.6,1
64,88.89,32.8,1
62,89.44,25.7,1
60,74.55,25.6,1
13,74.41,20,1
34,92.57,27.1,1
51,72.77,20.2,1
62,70.26,28.5,1
16,78.64,29.9,1
27,81.15,36.5,1
49,88.08,38.1,1
16,93.74,23.5,1
35,91.5,35.7,1
65,95.14,36.8,1
9,70.4,34.8,1
17,95.24,25.2,1
3,90.12,31,1
12,92.48,25.5,1
46,94.33,23.5,1
51,81.19,22.6,1
68,73.44,27.4,1
53,96.46,31.9,1
60,93.96,32.9,1
58,73.13,34.8,1
48,79.33,31.4,1
53,98.88,37.8,1
40,72.19,22.6,1
23,76.63,30.2,1
24,72.53,24.7,1
35,98.81,39.4,1
48,98.93,29.6,1
64,90.74,36.8,1
5,92.16,29.1,1
68,90.99,36.7,1
63,92.14,27.4,1
13,84.79,32.9,1
5,76.61,30.6,1
64,95.6,28.3,1
46,81.86,38.4,1
23,89.42,38.2,1
55,91.66,24.8,1
14,75.07,30.9,1
24,81.17,20.7,1
15,97.02,24.4,1
2,82.56,28,1
28,72.64,38.4,1
33,98.9,29.1,1
21,83.6,23.1,1
50,81.31,36.7,1
0,92.39,30.8,1
39,79.59,34.7,1
17,73.29,39.8,1
58,93.43,32.2,1
4,89.76,25.6,1
25,77.05,35.3,1
15,73.11,39.2,1
53,73.56,31.2,1
50,71.35,22.5,1
61,97.2,32.9,1
50,94.6,28.8,1
46,84.89,36.1,1
45,72.11,33.6,1
44,85.44,20.9,1
52,78.55,39.8,1
1,95.66,21.5,1
50,85.49,32.9,1
25,85.27,29.7,1
22,94.75,37.9,1
70,79.61,22.7,1
65,86.96,30.6,1
1,70.96,29.3,1
23,85.18,27.3,1
38,89.73,27,1
17,93.58,35.9,1
21,90.5,24.6,1
51,87.06,24.5,1
56,94.68,35.9,1
45,96.45,27.5,1
5,94.27,24.5,1
60,97.62,29.8,1
63,89,26.1,1
9,90.29,24.4,1
31,89.04,27.8,1
2,94.29,23.8,1
39,96.82,20,1
33,70.69,38.6,1
54,81.96,24.3,1
51,92.99,26.6,1
51,89.36,37.4,1
42,99.38,36.8,1
59,84.12,36.4,1
56,81.93,32.2,1
33,71.23,24.6,1
24,83.74,29.5,1
35,96.13,25.5,1
12,93.7,30.4,1
9,74.57,29.3,1
61,76.84,24.3,1
37,70.9,31.5,1
35,99.74,21.8,1
10,87.08,32.8,1
27,71.18,27.6,1
41,88.71,20.1,1
40,90.06,39.9,1
43,86.24,23.5,1
38,91.61,24.7,1
44,82.56,31.8,1
59,98.7,30.1,1
57,87.37,34.3,1
31,84.52,31.2,1
53,85.77,29.8,1
57,89.7,30,1
63,76.29,38.5,1
48,73.56,24.7,1
21,95.51,20,1
0,90.82,22,1
43,73.8,21.7,1
66,98.1,36.2,1
37,94.18,31.2,1
47,92.08,29.6,1
51,81.98,23.6,1
32,79.79,26.7,1
36,81.93,34.6,1
44,74.52,23.7,1
35,92.9,23,1
18,91.29,27.7,1
53,94.24,33.3,1
30,70.79,29.3,1
12,85.29,36,1
34,97.38,32.9,1
66,82.02,21.4,1
53,93.37,37.7,1
1,71.86,31.1,1
19,97.98,35,1
21,82.59,20.8,1
54,97.08,39.7,1
63,86.4,34.6,1
28,100,24.9,1
47,81.47,36.5,1
31,94.91,24.5,1
69,76.31,32.2,1
32,75.03,28.3,1
60,95.65,20.6,1
36,85.84,33.9,1
5,87.51,34.9,1
11,94.35,28.9,1
8,76.83,32.1,1
42,94.2,36.2,1
58,74.85,38,1
66,71.7,21.6,1
70,74.48,23.3,1
34,71.47,35,1
70,74.91,31.3,1
33,81.15,27.6,1
65,81.47,20.4,1
48,95.84,25.2,1
55,83.84,22.2,1
62,86.6,29.1,1
65,96.39,25.8,1
8,73.47,25.5,1
25,82.39,28.9,1
34,80.91,23.2,1
33,95.47,30.4,1
52,96.51,29.8,1
59,92.86,20.8,1
0,70.28,35.7,1
7,81.68,39.9,1
44,73.73,28.6,1
65,93.07,22.1,1
35,98.24,38.1,1
21,85.38,29.5,1
0,85.9,24.6,1
23,88.89,23.5,1
25,87.94,39.9,1
62,90.08,31.4,1
52,88.97,28.5,1
20,93.16,26.4,1
38,92.29,36.1,1
34,95.84,31.5,1
40,84.3,29.2,1
54,73.07,31.5,1
6,98.71,37.7,1
47,72.33,31.1,1
37,70.29,23.2,1
3,87.84,30.6,1
70,78.05,35.4,1
61,85.44,21,1
0,71.63,21.3,1
69,90.98,29,1
25,74.45,39.4,1
45,78.08,20.1,1
36,78.38,33.8,1
29,80.5,39.1,1
41,78.27,36.8,1
40,97.58,22.3,1
28,93.46,39.1,1
54,84.51,27.6,1
61,94.78,30,1
65,84.21,32.4,1
26,86.34,31.6,1
14,84.69,24.4,1
34,85.91,26.9,1
40,87.94,31.4,1
5,97.38,22.1,1
15,80.17,33,1
39,94.19,34.3,1
55,78.98,24.7,1
17,96.94,24.9,1
36,88.9,32.1,1
21,71.75,35.8,1
14,82.87,23.1,1
57,93.41,24,1
55,72.78,35.9,1
31,77.49,33.1,1
66,86.71,30.5,1
24,71.99,39.8,1
41,98.48,30.3,1
23,99.77,36.6,1
8,90.14,31.8,1
35,86.31,35.7,1
58,73.72,20.6,1
70,98.27,35.5,1
62,88.35,32.9,1
43,88.97,25.8,1
35,83.47,29,1
64,88.27,27.2,1
68,74.13,31.8,1
65,92.33,26.6,1
43,92.35,22.4,1
63,97,28.9,1
42,75.28,27.1,1
69,99.2,26.4,1
